,artist,song,spotify_ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cp_length,genres
0,10cc,the wall street shuffle,3HyZGwZAq9oQJQBzSyjs7Q,0.516,0.504,2.0,-10.638,0.0,0.027999999999999997,0.162,8.72e-05,0.10800000000000001,0.655,98.17299999999999,241573.0,4.0,5,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'symphonic rock', 'yacht rock']"
1,1927,if i could,6mIzvlozXozRHRfi1Dxcyz,0.6859999999999999,0.59,4.0,-4.456,1.0,0.0243,0.361,5.7999999999999994e-05,0.0946,0.315,97.163,220867.0,4.0,5,"['australian pop', 'australian rock']"
2,2pac,changes,00i2HU7TEzzftShjRrDSEF,0.865,0.657,7.0,-6.722,1.0,0.076,0.0404,0.0,0.14,0.316,111.115,268960.0,4.0,4,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
3,3 doors down,be like that,3PbHle8KhJp6GuO1jLdEmQ,0.48700000000000004,0.7020000000000001,7.0,-6.0429999999999975,1.0,0.0238,0.00536,4.93e-06,0.129,0.306,95.973,265907.0,4.0,4,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']"
4,3 doors down,kryptonite,6ZOBP3NvffbU4SZcrnt1k6,0.545,0.865,11.0,-5.7079999999999975,0.0,0.0286,0.006640000000000001,1.12e-05,0.168,0.5429999999999999,99.01,233933.0,4.0,4,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']"
5,3 doors down,kryptonite,6ZOBP3NvffbU4SZcrnt1k6,0.545,0.865,11.0,-5.7079999999999975,0.0,0.0286,0.006640000000000001,1.12e-05,0.168,0.5429999999999999,99.01,233933.0,4.0,5,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']"
6,311,amber,51UtgWS4z1eMPuLQOzPtNH,0.659,0.727,4.0,-8.638,0.0,0.0455,0.11900000000000001,0.00427,0.1,0.748,166.16299999999995,211080.0,4.0,3,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'modern rock', 'nu metal', 'pop rock', 'post-grunge', 'rap rock', 'reggae fusion', 'rock']"
7,360,run alone,6de6LSyIS9rM47SldiENLP,0.6679999999999999,0.522,9.0,-10.08,1.0,0.0807,0.0128,0.0,0.124,0.544,114.529,273112.0,4.0,3,"['australian hip hop', 'australian pop', 'australian underground hip hop']"
8,38 special,if i'd been the one,6XomFpGnHv0hYgUoW75dOw,0.5670000000000001,0.7609999999999999,7.0,-11.78,1.0,0.0279,0.00486,3.43e-05,0.0547,0.797,142.941,235640.0,4.0,3,"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']"
9,38 special,if i'd been the one,6XomFpGnHv0hYgUoW75dOw,0.5670000000000001,0.7609999999999999,7.0,-11.78,1.0,0.0279,0.00486,3.43e-05,0.0547,0.797,142.941,235640.0,4.0,4,"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']"
